[34628:35004:0504/120620.084:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[46896:4584:0504/121009.799:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #260).
[46896:4584:0504/121009.816:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #260).
[46896:4584:0504/121010.118:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #267).
[46896:4584:0504/121010.135:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #267).
[46896:4584:0504/121010.200:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #270).
[46896:4584:0504/121010.217:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #270).
[46896:4584:0504/121010.251:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #271).
[46896:4584:0504/121010.267:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #271).
[46896:4584:0504/121011.885:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #285).
[46896:4584:0504/121011.900:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #285).
[46896:4584:0504/121011.917:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #285).
[46896:4584:0504/121011.948:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #286).
[46896:4584:0504/121011.967:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #286).
[46896:4584:0504/121012.017:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #288).
[46896:4584:0504/121012.036:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #288).
[46896:4584:0504/121012.048:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #288).
[46896:4584:0504/121012.066:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #288).
[46896:4584:0504/121012.083:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #288).
[46896:4584:0504/121012.132:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #290).
[46896:4584:0504/121012.150:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #290).
[46896:4584:0504/121012.167:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #290).
[46896:4584:0504/121012.183:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #290).
[46896:4584:0504/121012.267:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #293).
[46896:4584:0504/121012.282:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #293).
[46896:4584:0504/121012.431:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #298).
[46896:4584:0504/121012.447:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #298).
[46896:4584:0504/121012.464:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #298).
[46896:4584:0504/121012.480:VERBOSE1:video_capture_oracle.cc(250)] Client rejects proposal to capture frame (at #298).
